Pandas Bootcamp

date	num	num2	str	str2
2014-01-02	97	569.572320	boy	purple
2014-01-19	460	974.935766	girl	yellow
2014-01-21	989	436.263500	girl	yellow
2014-02-16	439	953.438446	girl	blue
2014-04-04	112	486.978815	girl	yellow
2014-05-01	739	482.150378	girl	blue
2014-05-14	617	627.349695	girl	green
2014-06-08	258	748.490738	boy	yellow
2014-06-14	627	679.897534	girl	yellow
2014-07-10	708	578.400840	girl	green
2014-08-30	649	335.045781	girl	yellow
2014-08-30	528	996.830337	boy	green
2014-09-04	161	867.246292	boy	green
2014-09-29	164	661.445575	boy	yellow
2014-10-28	230	422.476554	girl	purple
2014-10-28	318	982.028435	boy	yellow
2014-11-01	377	924.494862	girl	purple
2014-11-30	549	653.950097	girl	blue
2014-12-01	26	778.754410	boy	purple
2014-12-14	90	942.687870	boy	blue
2014-12-28	614	572.836111	boy	blue
2015-01-11	988	789.138854	girl	red
2015-04-27	614	321.318443	girl	yellow
2015-05-16	929	669.390434	girl	green
2015-05-29	449	472.638162	girl	yellow
2015-07-08	915	391.840372	boy	yellow
2015-07-16	988	450.994443	girl	red
2015-07-30	99	787.530102	boy	blue
2015-08-04	964	188.273812	girl	yellow
2015-08-29	587	317.978754	girl	green
2015-09-09	838	70.636845	girl	green
2015-10-21	167	640.797087	boy	green
2015-12-14	527	908.070246	boy	blue
2015-12-19	562	64.103513	boy	purple
2015-12-24	985	189.088120	boy	red
2016-01-06	100	388.447901	girl	green
2016-01-17	254	518.057217	boy	green
2016-01-28	518	267.122756	girl	green
2016-03-04	704	742.864890	girl	yellow
2016-04-04	827	741.301791	boy	yellow
2016-04-05	799	195.608335	girl	red
2016-05-10	4	340.484478	boy	yellow
2016-05-29	728	147.594808	boy	green
2016-06-10	628	359.328103	girl	purple
2016-07-04	357	529.696059	boy	green
2016-08-18	464	601.406913	girl	blue
2016-08-27	683	881.393584	boy	yellow
2016-08-30	105	905.976737	girl	purple
2016-09-08	317	777.645155	boy	blue
2016-09-25	433	414.769892	boy	yellow
