Pandas Bootcamp

date	num	num2	str	str2
2014-03-19	989	931.433333	girl	yellow
2014-04-01	299	457.610045	girl	blue
2014-05-15	109	485.188116	girl	green
2014-05-18	740	205.706471	boy	yellow
2014-05-19	259	22.160529	girl	yellow
2014-05-31	482	914.970070	girl	yellow
2014-06-24	424	345.931005	boy	red
2014-07-03	897	710.997391	boy	yellow
2014-07-12	365	918.453764	boy	red
2014-07-24	156	135.273739	boy	yellow
2014-07-31	16	908.126265	girl	yellow
2014-10-06	975	91.660146	girl	purple
2014-10-29	36	729.769868	boy	red
2014-11-04	449	390.806579	girl	red
2014-11-30	517	555.375993	boy	purple
2014-12-13	804	319.616147	girl	green
2015-01-05	174	629.065720	boy	blue
2015-02-19	167	840.140143	boy	purple
2015-03-02	721	211.583033	boy	green
2015-03-03	554	48.738002	girl	blue
2015-03-06	339	959.654915	boy	blue
2015-03-12	970	875.130925	boy	green
2015-04-04	497	776.021489	boy	purple
2015-04-10	181	180.206955	girl	green
2015-04-30	348	999.251139	boy	red
2015-05-07	570	954.350178	boy	green
2015-05-11	677	180.727701	girl	green
2015-05-21	750	671.088331	boy	blue
2015-07-29	400	174.821474	boy	purple
2015-11-01	132	882.789025	boy	green
2016-01-09	63	141.145834	boy	red
2016-01-21	952	195.574950	boy	blue
2016-01-22	319	833.798559	girl	yellow
2016-02-03	322	533.223166	girl	green
2016-02-25	286	190.804209	boy	blue
2016-03-07	951	780.581858	boy	blue
2016-03-14	774	659.288279	girl	yellow
2016-04-11	143	440.066966	boy	red
2016-04-14	916	843.169470	girl	purple
2016-04-16	483	857.519467	girl	blue
2016-05-06	547	854.941835	boy	purple
2016-06-01	132	962.545298	boy	green
2016-06-05	772	903.660721	girl	blue
2016-06-27	866	662.843370	girl	yellow
2016-07-03	397	771.970807	boy	green
2016-08-02	191	292.201484	girl	red
2016-08-22	160	62.561427	boy	green
2016-08-25	865	212.907342	boy	green
2016-09-02	680	768.457790	girl	purple
2016-09-24	1	479.408738	girl	green
